smiles,±Í«©,Caspase-3/7 HepG2,CYP1A2 Antag,CYP2C19 Antag,CYP2C9 Antag,CYP3A4 Antag,CYP3A7 Antag,ARE Agon,Mito Membrane Disrupt,ER Stress,ER-beta Agon,PPARg Agon,RAR Agon,ERR Antag,GR Antag,PPARd Antag,PPARg Antag,TR Antag,MDR-1,HPGD Inhib
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,0,0,1,0,0,1,1,0,,0,0,0,1,0,,0,0,0,,
C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,1,0,0,1,1,,0,,0,0,0,0,0,1,0,0,0,0,,
C1=CN=C(C=N1)C(=O)N,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0
CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,1,0,0,1,1,1,1,1,0,,0,1,0,1,,0,,,,0
CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,1,1,,,1,1,,,0,0,0,,0,0,1,0,1,,,
CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,1,0,0,0,1,0,1,,0,0,0,,0,0,0,0,1,0,,0
CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0
CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,0,,,,,,,,,,,,,,,,,,,
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,1,,,,,,1,,,,,,,,,,,,,
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,1,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0
